ID	Label	Type	hasFloatValue	hasUnit
ID	LABEL	TYPE	I gc:hasFloatValue	I gc:hasUnit
ex:freqval_rem01b_1	Frequency mode 1 rem01b	gc:FloatValue	139.5	gc:cm-1
ex:freqval_rem01b_2	Frequency mode 2 rem01b	gc:FloatValue	101.35	gc:cm-1
ex:freqval_rem01b_3	Frequency mode 3 rem01b	gc:FloatValue	0.22	gc:cm-1
ex:freqval_rem01b_4	Frequency mode 4 rem01b	gc:FloatValue	0.06	gc:cm-1
ex:freqval_rem01b_5	Frequency mode 5 rem01b	gc:FloatValue	0.21	gc:cm-1
ex:freqval_rem01b_6	Frequency mode 6 rem01b	gc:FloatValue	46.08	gc:cm-1
ex:freqval_rem01b_7	Frequency mode 7 rem01b	gc:FloatValue	78.31	gc:cm-1
ex:freqval_rem01b_8	Frequency mode 8 rem01b	gc:FloatValue	92.29	gc:cm-1
ex:freqval_rem01b_9	Frequency mode 9 rem01b	gc:FloatValue	118.76	gc:cm-1
ex:freqval_rem01b_10	Frequency mode 10 rem01b	gc:FloatValue	248.57	gc:cm-1
ex:freqval_rem01b_11	Frequency mode 11 rem01b	gc:FloatValue	275.96	gc:cm-1
ex:freqval_rem01b_12	Frequency mode 12 rem01b	gc:FloatValue	324.91	gc:cm-1
ex:freqval_rem01b_13	Frequency mode 13 rem01b	gc:FloatValue	381.19	gc:cm-1
ex:freqval_rem01b_14	Frequency mode 14 rem01b	gc:FloatValue	498.42	gc:cm-1
ex:freqval_rem01b_15	Frequency mode 15 rem01b	gc:FloatValue	592.94	gc:cm-1
ex:freqval_rem01b_16	Frequency mode 16 rem01b	gc:FloatValue	655.29	gc:cm-1
ex:freqval_rem01b_17	Frequency mode 17 rem01b	gc:FloatValue	693.12	gc:cm-1
ex:freqval_rem01b_18	Frequency mode 18 rem01b	gc:FloatValue	789.35	gc:cm-1
ex:freqval_rem01b_19	Frequency mode 19 rem01b	gc:FloatValue	830.58	gc:cm-1
ex:freqval_rem01b_20	Frequency mode 20 rem01b	gc:FloatValue	851.39	gc:cm-1
ex:freqval_rem01b_21	Frequency mode 21 rem01b	gc:FloatValue	876.1	gc:cm-1
ex:freqval_rem01b_22	Frequency mode 22 rem01b	gc:FloatValue	907.01	gc:cm-1
ex:freqval_rem01b_23	Frequency mode 23 rem01b	gc:FloatValue	923.71	gc:cm-1
ex:freqval_rem01b_24	Frequency mode 24 rem01b	gc:FloatValue	971.17	gc:cm-1
ex:freqval_rem01b_25	Frequency mode 25 rem01b	gc:FloatValue	984.2	gc:cm-1
ex:freqval_rem01b_26	Frequency mode 26 rem01b	gc:FloatValue	1023.07	gc:cm-1
ex:freqval_rem01b_27	Frequency mode 27 rem01b	gc:FloatValue	1058.83	gc:cm-1
ex:freqval_rem01b_28	Frequency mode 28 rem01b	gc:FloatValue	1100.55	gc:cm-1
ex:freqval_rem01b_29	Frequency mode 29 rem01b	gc:FloatValue	1117.45	gc:cm-1
ex:freqval_rem01b_30	Frequency mode 30 rem01b	gc:FloatValue	1137.04	gc:cm-1
ex:freqval_rem01b_31	Frequency mode 31 rem01b	gc:FloatValue	1157.2	gc:cm-1
ex:freqval_rem01b_32	Frequency mode 32 rem01b	gc:FloatValue	1202.57	gc:cm-1
ex:freqval_rem01b_33	Frequency mode 33 rem01b	gc:FloatValue	1219.56	gc:cm-1
ex:freqval_rem01b_34	Frequency mode 34 rem01b	gc:FloatValue	1233.37	gc:cm-1
ex:freqval_rem01b_35	Frequency mode 35 rem01b	gc:FloatValue	1258.85	gc:cm-1
ex:freqval_rem01b_36	Frequency mode 36 rem01b	gc:FloatValue	1273.78	gc:cm-1
ex:freqval_rem01b_37	Frequency mode 37 rem01b	gc:FloatValue	1287.61	gc:cm-1
ex:freqval_rem01b_38	Frequency mode 38 rem01b	gc:FloatValue	1321.57	gc:cm-1
ex:freqval_rem01b_39	Frequency mode 39 rem01b	gc:FloatValue	1327.49	gc:cm-1
ex:freqval_rem01b_40	Frequency mode 40 rem01b	gc:FloatValue	1389.25	gc:cm-1
ex:freqval_rem01b_41	Frequency mode 41 rem01b	gc:FloatValue	1391.05	gc:cm-1
ex:freqval_rem01b_42	Frequency mode 42 rem01b	gc:FloatValue	1402.18	gc:cm-1
ex:freqval_rem01b_43	Frequency mode 43 rem01b	gc:FloatValue	1430.29	gc:cm-1
ex:freqval_rem01b_44	Frequency mode 44 rem01b	gc:FloatValue	1477.59	gc:cm-1
ex:freqval_rem01b_45	Frequency mode 45 rem01b	gc:FloatValue	1542.41	gc:cm-1
