ID	Label	Type	hasFrequency	hasIntensity
ID	LABEL	TYPE	I gc:hasFrequency	I gc:hasIntensity
ex:peak_aa001a_1	Mode 1 aa001a (imaginary)	gc:FrequencyPeak	ex:freqval_aa001a_1	ex:intval_aa001a_1
ex:peak_aa001a_2	Mode 2 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_2	ex:intval_aa001a_2
ex:peak_aa001a_3	Mode 3 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_3	ex:intval_aa001a_3
ex:peak_aa001a_4	Mode 4 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_4	ex:intval_aa001a_4
ex:peak_aa001a_5	Mode 5 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_5	ex:intval_aa001a_5
ex:peak_aa001a_6	Mode 6 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_6	ex:intval_aa001a_6
ex:peak_aa001a_7	Mode 7 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_7	ex:intval_aa001a_7
ex:peak_aa001a_8	Mode 8 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_8	ex:intval_aa001a_8
ex:peak_aa001a_9	Mode 9 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_9	ex:intval_aa001a_9
ex:peak_aa001a_10	Mode 10 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_10	ex:intval_aa001a_10
ex:peak_aa001a_11	Mode 11 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_11	ex:intval_aa001a_11
ex:peak_aa001a_12	Mode 12 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_12	ex:intval_aa001a_12
ex:peak_aa001a_13	Mode 13 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_13	ex:intval_aa001a_13
ex:peak_aa001a_14	Mode 14 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_14	ex:intval_aa001a_14
ex:peak_aa001a_15	Mode 15 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_15	ex:intval_aa001a_15
ex:peak_aa001a_16	Mode 16 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_16	ex:intval_aa001a_16
ex:peak_aa001a_17	Mode 17 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_17	ex:intval_aa001a_17
ex:peak_aa001a_18	Mode 18 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_18	ex:intval_aa001a_18
ex:peak_aa001a_19	Mode 19 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_19	ex:intval_aa001a_19
ex:peak_aa001a_20	Mode 20 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_20	ex:intval_aa001a_20
ex:peak_aa001a_21	Mode 21 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_21	ex:intval_aa001a_21
ex:peak_aa001a_22	Mode 22 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_22	ex:intval_aa001a_22
ex:peak_aa001a_23	Mode 23 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_23	ex:intval_aa001a_23
ex:peak_aa001a_24	Mode 24 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_24	ex:intval_aa001a_24
ex:peak_aa001a_25	Mode 25 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_25	ex:intval_aa001a_25
ex:peak_aa001a_26	Mode 26 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_26	ex:intval_aa001a_26
ex:peak_aa001a_27	Mode 27 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_27	ex:intval_aa001a_27
ex:peak_aa001a_28	Mode 28 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_28	ex:intval_aa001a_28
ex:peak_aa001a_29	Mode 29 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_29	ex:intval_aa001a_29
ex:peak_aa001a_30	Mode 30 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_30	ex:intval_aa001a_30
ex:peak_aa001a_31	Mode 31 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_31	ex:intval_aa001a_31
ex:peak_aa001a_32	Mode 32 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_32	ex:intval_aa001a_32
ex:peak_aa001a_33	Mode 33 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_33	ex:intval_aa001a_33
ex:peak_aa001a_34	Mode 34 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_34	ex:intval_aa001a_34
ex:peak_aa001a_35	Mode 35 aa001a	gc:FrequencyPeak	ex:freqval_aa001a_35	ex:intval_aa001a_35
